"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","DAPR","MDPR","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","TSUN","WDF2","WDF5","WESD","WESF","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT11"
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-04-30",,,,,"0.8","0.0","0.0",,"14.4","7.2","7.8",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-05-01",,,,,"23.1","0.0","0.0",,"15.6","7.8","12.2",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-05-02",,,,,"5.8","0.0","0.0",,"18.3","8.9","11.7",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-05-03",,,,,"2.3","0.0","0.0",,"21.7","11.1","12.2",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-05-04",,,,,"0.0","0.0","0.0",,"25.0","12.2","15.6",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-05-05",,,,,"0.3","0.0","0.0",,"21.1","6.1","6.7",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-05-06",,,,,"0.0","0.0","0.0",,"16.7","6.7","8.3",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-05-07",,,,,"0.0","0.0","0.0",,"11.7","6.1","7.2",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-05-08",,,,,"0.0","0.0","0.0",,"18.3","6.1","6.7",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-05-09",,,,,"17.0","0.0","0.0",,"10.6","0.0","0.6",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-05-10",,,,,"0.0","0.0","0.0",,"8.3","0.6","2.8",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-05-11",,,,,"0.0","0.0","0.0",,"16.1","2.8","5.6",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-05-12",,,,,"3.0","0.0","0.0",,"17.2","5.6","6.1",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-05-13",,,,,"0.0","0.0","0.0",,"14.4","2.8","4.4",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-05-14",,,,,"0.0","0.0","0.0",,"17.2","1.7","3.3",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-05-15",,,,,"0.0","0.0","0.0",,"21.1","3.3","13.9",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-05-16",,,,,"0.0","0.0","0.0",,"27.8","13.9","16.7",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-05-17",,,,,"0.0","0.0","0.0",,"24.4","12.8","13.9",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-05-18",,,,,"0.0","0.0","0.0",,"20.6","10.6","11.7",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-05-19",,,,,"0.0","0.0","0.0",,"20.6","11.1","12.8",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-05-20",,,,,"0.0","0.0","0.0",,"19.4","7.2","9.4",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-05-21",,,,,"0.0","0.0","0.0",,"18.9","2.2","3.3",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-05-22",,,,,"0.0","0.0","0.0",,"22.2","3.3","10.0",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-05-23",,,,,"4.3","0.0","0.0",,"23.9","9.4","17.2",,,,,,,,,,,,,,,,
